smiles,labels
CCS(=O)(=O)c1ccc2c(c1)-c1cn(C)c(=O)cc1OCCCCc1cc(F)cc(F)c1O2,1
CCS(=O)(=O)c1ccc2c(c1)-c1cn(C)c(=O)cc1OCCCCc1cc(F)ccc1O2,1
Cn1cc2c(cc1=O)OCCCCc1cc(Cl)ccc1Oc1ccc(CS(C)(=O)=O)cc1-2,1
CCS(=O)(=O)c1ccc2c(c1)-c1cn(C)c(=O)cc1OCCCCc1ccccc1O2,1
CCS(=O)(=O)c1ccc2c(c1)-c1cn(C)c(=O)cc1OCCCCc1cc(Cl)ccc1O2,1
CCS(=O)(=O)Nc1ccc2c(c1)-c1cn(C)c(=O)cc1OCCCCc1cc(F)cc(F)c1O2,1
CCS(=O)(=O)Nc1ccc2c(c1)-c1cn(C)c(=O)cc1OCCCCc1cc(Cl)ccc1O2,1
CCOc1cc(=O)n(C)cc1-c1cc(NCc2cccc(C#N)c2)ccc1Oc1ccc(F)cc1F,1
CCOc1cc(=O)n(C)cc1-c1cc(NCc2ccc(C#N)cc2)ccc1Oc1ccc(F)cc1F,1
CCOc1cc(=O)n(C)cc1-c1cc(NCc2c(F)cccc2F)ccc1Oc1ccc(F)cc1F,1
CCOc1cc(=O)n(C)cc1-c1cc(NCc2ccc(F)cc2)ccc1Oc1ccc(F)cc1F,1
CCOc1cc(=O)n(C)cc1-c1cc(N(Cc2ccccc2Cl)S(=O)(=O)CC)ccc1Oc1ccc(F)cc1F,1
CCOc1cc(=O)n(C)cc1-c1cc(N(Cc2ccccc2)S(=O)(=O)CC)ccc1Oc1ccc(F)cc1F,1
CCCCOc1ccc(CNc2ccc(Oc3ccc(F)cc3F)c(-c3cn(C)c(=O)cc3OCC)c2)cc1,0
CCOc1cc(=O)n(C)cc1-c1cc(NCc2ccc(C(C)(C)C)cc2)ccc1Oc1ccc(F)cc1F,0
CCOc1cc(=O)n(C)cc1-c1cc(NCc2ccccc2C#N)ccc1Oc1ccc(F)cc1F,1
CNc1cc(-c2ccc3cnn(Cc4cc(OC)cc(OC)c4)c3c2)cn(C)c1=O,0
CNc1cc(-c2ccc3cnn(Cc4ccc(F)c([N+](=O)[O-])c4)c3c2)cn(C)c1=O,0
CNc1cc(-c2ccc3cnn(Cc4ccc(C(F)(F)F)cc4)c3c2)cn(C)c1=O,0
CNc1cc(-c2ccc3cnn(Cc4ccc(F)cc4)c3c2)cn(C)c1=O,0
CNc1cc(-c2ccc3cnn(Cc4ccc(C)cc4)c3c2)cn(C)c1=O,0
CCNc1cc(-c2ccc3cnn(Cc4ccc(F)cc4)c3c2)cn(C)c1=O,0
CCNc1cc(-c2ccc3cnn(Cc4cc(OC)cc(OC)c4)c3c2)cn(C)c1=O,0
CNc1cc(-c2ccc3cnn(Cc4ccc(OC)c(F)c4)c3c2)cn(C)c1=O,0
CNc1cc(-c2ccc3cnn(Cc4ccc(OC)cc4)c3c2)cn(C)c1=O,0
CNc1cc(-c2ccc3cnn(Cc4ccc(F)c(F)c4)c3c2)cn(C)c1=O,0
Cc1noc(C)c1-c1ccc2c(c1)O[C@H](CC1CC1)C(=O)N2C,0
CCN1C(=O)[C@@H](CC2CC2)Oc2cc(-c3c(C)noc3C)ccc21,1
Cc1noc(C)c1-c1ccc2c(c1)O[C@H](CC1CC1)C(=O)N2CC(=O)N(C)C,0
Cc1noc(C)c1-c1ccc2c(c1)O[C@H](CC1CC1)C(=O)N2,1
Cc1noc(C)c1-c1ccc2c(c1)O[C@H](CC1CC1)C(=O)N2CCN(C)C,0
Cc1noc(C)c1-c1ccc2c(c1)O[C@H](CC1CC1)C(=O)N2CC(=O)O,0
COC(=O)CN1C(=O)[C@@H](CC2CC2)Oc2cc(-c3c(C)noc3C)ccc21,1
CNC(=O)c1cc(C(=O)NC2CC2)cn(Cc2cccc3cn[nH]c23)c1=O,0
Cn1cc(-c2cc(NS(=O)(=O)CCF)ccc2OC2CCOC2)c2cc[nH]c2c1=O,1
CCS(=O)(=O)Nc1ccc(OC2CCOC2)c(-c2cn(C)c(=O)c3[nH]ccc23)c1,1
Cn1cc(-c2cc(S(C)(=O)=O)ccc2OC2CCOC2)c2cc[nH]c2c1=O,1
CCCS(=O)(=O)Nc1ccc(OC2CCOC2)c(-c2cn(C)c(=O)c3[nH]ccc23)c1,1
Cn1cc(-c2cc(NS(C)(=O)=O)ccc2OC2CCOC2)c2cc[nH]c2c1=O,1
CNC(=O)c1cc(C(=O)NC2CC2)cn(CC2CCCOC2)c1=O,0
Cc1ccc(-n2cnnc2C)cc1S(=O)(=O)NC1CCCC1,0
Cc1ccc(-n2c(C)nnc2C)cc1S(=O)(=O)NC1CCCC1,0
CNC(=O)N1N=C(c2ccc(N3CC4(CCS4(=O)=O)C3)cc2)c2cc(OC(F)(F)F)ccc2C[C@@H]1C,1
CNC(=O)N1N=C(c2ccc(N3CC4(CCS4(=O)=O)C3)cc2)c2cc(OC)c(OC)cc2CC1C,1
Cc1cc2c(-c3cc[nH]n3)cnc(NC3CCNCC3)c2[nH]c1=O,0
Cn1cc(-c2cc(S(C)(=O)=O)ccc2NC2CCCCC2)c2cc[nH]c2c1=O,1
Cn1cc(-c2cc(C(C)(C)O)ccc2Oc2ccc(F)cc2F)c2cc(C(=O)NCc3ccc(C(=O)NO)cc3)[nH]c2c1=O,1
Cc1cc(F)cc(C)c1Oc1ccc(C(C)(C)O)cc1-c1cn(C)c(=O)c2[nH]c(C(=O)NCc3ccc(C(=O)NO)cc3)cc12,1
Cn1cc(-c2ccccc2Oc2ccccc2)c2cc(C(=O)NCc3ccc(C(=O)NO)cc3)[nH]c2c1=O,1
COc1cc2c(cc1-c1c(C)noc1C)ncc1[nH]/c(=N\C#N)n([C@H](C)c3ccccn3)c12,1
Cc1ccc(N2C(=O)CSC2c2ccc3c(c2)N(C2CC2)C(C)C(=O)N3C)cc1,1
Cc1nnc2c(NC3CCN(S(C)(=O)=O)CC3)nc(-c3nc4cnc(N5CCOCC5)cc4n3CCOC(C)C)cn12,1
Cc1nnc2c(NC3CCN(C)CC3)nc(-c3nc4cnc(N5CCOCC5)cc4n3CCOC(C)C)cn12,1
CC[C@@H]1c2nnc(C)n2-c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1Cc1cccs1,1
CC[C@@H]1c2nncn2-c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1Cc1cccs1,1
Cc1cnn(C)c1-c1cc(-c2c(C)noc2C)cc2nc(C3CC3)[nH]c12,1
Cn1cc(-c2cc(S(C)(=O)=O)ccc2Oc2ccc(F)cc2F)c2cc(CNC3CCOC3)[nH]c2c1=O,1
O=c1[nH]c(-c2cccc(NCCc3ccccc3)c2)cs1,0
CC(C)N1c2cc(Nc3nccc(-c4ccnc5ccccc45)n3)ccc2N(C)C(=O)[C@H]1C,1
Cc1noc(C)c1-c1ccc2c(c1)C(O)(C1CCCCC1=O)C(=O)N2,1
CNC(=O)c1cc(C(=O)NC2CCOCC2)cn(Cc2ccccc2)c1=O,0
O=C(CN1C(=O)CNC1=O)Nc1ccc(Cl)c(S(=O)(=O)C2CCCCC2)c1,0
CC(C)(C)c1cc(-c2nnc(-c3cc(F)cc(Cl)c3)o2)no1,0
Cc1[nH]c(-c2ccccc2Nc2ccccc2)cc1C(N)=O,1
Cn1cc(-c2cc(C(C)(C)O)ccc2OC2CC2)c2cc(C(=O)NCc3ccc(C(=O)Nc4ccccc4N)cc3)[nH]c2c1=O,1
Cc1cc(-c2nc3ccccc3n2C[C@H]2CC[C@H](O)CC2)cn(C)c1=O,1
CCS(=O)(=O)Nc1cc(-c2cn(C)c(=O)c3[nH]ccc23)c(Oc2ccc(F)cc2F)cc1CN1CCOCC1,1
CN1C(=O)[C@@H](N2CCc3cn(CC4CCS(=O)(=O)CC4)nc3C2=O)COc2ccccc21,0
Cc1noc2ccc(-c3nc4ccc(N5CCOCC5)cc4n3Cc3ccccc3)cc12,0
Cc1ccc(NC(=O)CN2C(=O)CN(C)C2=O)cc1S(=O)(=O)N1CCCCC1,0
O=C(CN1C(=O)CNC1=O)Nc1ccc(Cl)c(S(=O)(=O)N2CCCCC2)c1,0
CC1CCCN(S(=O)(=O)c2cc(NC(=O)CN3C(=O)CNC3=O)ccc2Br)C1,0
O=C(Nc1ccc(Cl)cn1)c1c(F)c(F)c(F)c(F)c1F,0
CSCCC1NC(=O)N(CC(=O)Nc2ccc(Cl)c(S(=O)(=O)N3CCOCC3)c2)C1=O,0
COc1ccc(NS(=O)(=O)c2cccc(-c3csc(=O)[nH]3)c2)cc1,0
Nc1ccc(NS(=O)(=O)c2cccc(-c3csc(=O)[nH]3)c2)cc1,0
Cc1nnc2n1-c1sc(C#CC3CCC3)c(Cc3ccccc3)c1COC2,1
CCS(=O)(=O)c1ccc(N2CCCC2)c(-c2cn(C)c(=O)c3[nH]ccc23)c1,1
Cc1nnc2n1-c1ccc(-c3ccc4c(c3)CCC(=O)N4)cc1C(Nc1ccc(Cl)cc1)CC2,1
COc1ccc2[nH]cc(CCNC(=O)c3ccc(Oc4ccc(F)cc4F)c(-c4cn(C)c(=O)c5[nH]ccc45)c3)c2c1,1
Cc1cc2c(C3CCCCC3)cnc(NC3CCN(CCCN)CC3)c2[nH]c1=O,0
Cc1noc2c1-c1sc(C)c(C)c1C(N1CCOCC1)=N[C@H]2CC(N)=O,0
Cc1noc(C)c1-c1ccc2nc(N3CCN(CCN(C)C)CC3)nc(NCc3cncc(Cl)c3)c2c1,1
Cn1c(=O)n(C)c2cc(N3CCCCC3)c(NC(=O)Cc3ccccc3)cc21,0
Cc1noc(C)c1-c1ccc2cc[nH]c2c1,0
Cc1nnn2c1-c1ccccc1N(Cc1ccccc1)CC2,0
Cc1nnn2c1-c1ccccc1N(Cc1cccc(Br)c1)CC2,1
